millis;pwm fill factor;sensor distance in mm
12844;0.00;255
12857;0.00;255
12873;0.00;255
12887;0.00;255
12900;0.00;255
12914;0.00;255
12928;0.00;255
12941;0.00;255
12955;0.00;255
12968;0.00;255
12983;0.00;255
12996;0.00;255
13010;0.00;255
13024;0.00;255
13037;0.00;255
13050;0.00;255
13064;0.00;255
13077;0.00;255
13090;0.00;255
13104;0.00;255
13118;0.00;255
13131;0.00;255
13145;0.00;255
13158;0.00;255
13171;0.00;255
13185;0.00;255 
13198;0.00;255
13210;0.00;255
13224;0.00;255
13238;0.00;255
13251;0.00;255
13264;0.00;255
13278;0.00;255
13292;0.00;255
13305;0.00;255
13320;0.00;255
13333;0.00;255
13346;0.00;255
13361;0.00;255
13374;0.00;255
13387;0.00;255
13402;0.00;255
13415;0.00;255
13429;0.00;255
13443;0.00;255
13456;0.00;255
13470;0.00;255
13484;0.00;255
13498;0.00;255
13511;0.00;255
13526;0.00;255
13539;0.00;255
13552;0.00;255
13566;0.00;255
13580;0.00;255
13594;0.00;255
13607;0.00;255
13621;0.00;255
13635;0.00;255
13648;0.00;255
13663;0.00;255
13676;0.00;255
13689;0.00;255
13702;0.00;255
13716;0.00;255
13730;0.00;255
13743;0.00;255
13757;0.00;255
13771;0.00;255
13784;0.00;255
13798;0.00;255
13811;0.00;255
13825;0.00;255
13839;0.00;255
13852;0.00;255
13865;0.00;255
13880;0.00;255
13893;0.00;255
13907;0.00;255
13921;0.00;255
13935;0.00;255
13948;0.00;255
13962;0.00;255
13975;0.00;255
13988;0.00;255
14003;0.00;255
14016;0.00;255
14030;0.00;255
14044;0.00;255
14058;0.00;255
14071;0.00;255
14085;0.00;255
14098;0.00;255
14111;0.00;255
14125;0.00;255
14138;0.00;255
14152;0.00;255
14166;0.00;255
14179;0.00;255
14192;0.00;255
14205;0.00;255
14220;0.00;255
14233;0.00;255
14247;0.00;255
14261;0.00;255
14274;0.00;255
14288;0.00;255
14302;0.00;255
14316;0.00;255
14329;0.00;255
14344;0.00;255
14357;0.00;255
14371;0.00;255
14385;0.00;255
14399;0.00;255
14412;0.00;255
14427;0.00;255
14440;0.00;255
14453;0.00;255
14468;0.00;255
14481;0.00;255
14495;0.00;255
14510;0.00;255
14523;0.00;255
14536;0.00;255
14550;0.00;255
14563;0.00;255
14577;0.00;255
14590;0.00;255
14605;0.00;255
14619;0.00;255
14631;0.00;255
14646;0.00;255
14659;0.00;255
14672;0.00;255
14686;0.00;255
14699;0.00;255
14712;0.00;255
14727;0.00;255
14739;0.00;255
14753;0.00;255
14768;0.00;255
14780;0.00;255
14794;0.00;255
14808;0.00;255
14821;0.00;255
14834;0.00;255
14848;0.00;255
14862;0.00;255
14875;0.00;255
14889;0.00;255
14903;0.00;255
14915;0.00;255
14928;0.00;255
14942;0.00;255
14956;0.00;255
14969;0.00;255
14983;0.00;255
14997;0.00;255
15010;0.00;255
15024;0.00;255
15038;0.00;255
15051;0.00;255
15065;0.00;255
15079;0.00;255
15092;0.00;255
15107;0.00;255
15120;0.00;255
15134;0.00;255
15148;0.00;255
15162;0.00;255
15175;0.00;255
15190;0.00;255
15204;0.00;255
15217;0.00;255
15232;0.00;255
15245;0.00;255
15259;0.00;255
15272;0.00;255
15286;0.00;255
15300;0.00;255
15313;0.00;255
15328;0.00;255
15341;0.00;255
15355;0.00;255
15369;0.00;255
15383;0.00;255
15396;0.00;255 
15410;0.00;255
15422;0.00;255
15436;0.00;255
15451;0.00;255
15464;0.00;255
15478;0.00;255
15492;0.00;255
15506;0.00;255
15519;0.00;255
15534;0.00;255
15547;0.00;255
15560;0.00;255
15574;0.00;255
15588;0.00;255
15601;0.00;255
15616;0.00;255
15629;0.00;255
15643;0.00;255
15656;0.00;255
15671;0.00;255
15684;0.00;255
15698;0.00;255
15712;0.00;255
15725;0.00;255
15738;0.00;255
15752;0.00;255
15765;0.00;255
15778;0.00;255
15792;0.00;255
15806;0.00;255
15819;0.00;255
15834;0.00;255
15848;0.00;255
15861;0.00;255
15876;0.00;255
15889;0.00;255
15902;0.00;255
15917;0.00;255
15930;0.00;255
15944;0.00;255
