millis;pwm fill factor;sensor distance in mm
10093;0.53;28
10104;0.53;23
10116;0.53;22
10126;0.53;24
10137;0.53;24
10148;0.53;24
10160;0.53;23
10171;0.53;24 
10182;0.53;24
10192;0.53;25
10204;0.53;27
10215;0.53;26
10226;0.53;28
10237;0.53;29
10249;0.53;29
10259;0.53;30
10270;0.53;30
10281;0.53;30
10293;0.53;28
10304;0.53;30 
10317;0.53;32
10328;0.53;34
10339;0.53;32
10350;0.53;33
10361;0.53;35
10373;0.53;38
10384;0.53;37
10394;0.53;37
10405;0.53;42
10417;0.53;39
10428;0.53;43
10439;0.53;44
10450;0.53;46
10461;0.53;46
10472;0.53;49
10483;0.53;50
10494;0.53;50
10506;0.53;52
10517;0.53;53
10527;0.53;54
10539;0.53;54
10550;0.53;56
10562;0.69;57
10573;0.69;60
10586;0.69;60
10597;0.69;62
10609;0.69;63
10620;0.69;64 
10633;0.69;66
10644;0.69;66
10656;0.69;67
10668;0.69;67
10680;0.69;71
10691;0.69;68
10703;0.69;67
10715;0.69;68 
10727;0.69;69
10738;0.69;64
10750;0.69;66
10762;0.69;66
10774;0.69;64
10785;0.69;63
10798;0.69;62
10809;0.69;63 
10821;0.69;61
10832;0.69;61
10845;0.69;62
10856;0.69;57
10868;0.69;58
10880;0.69;58
10892;0.69;57
10903;0.69;56
10914;0.69;52
10926;0.69;51
10937;0.69;49
10947;0.69;50
10958;0.69;48
10970;0.69;45
10981;0.69;41
10992;0.69;39
11003;0.69;38
11014;0.69;36
11025;0.69;34
11036;0.69;32
11047;0.69;30
11059;0.53;27
11070;0.53;26
11080;0.53;22
11091;0.53;23
11103;0.53;24
11114;0.53;24
11125;0.53;23 
11137;0.53;23
11147;0.53;25
11158;0.53;25
11169;0.53;25
11181;0.53;26
11192;0.53;24
11203;0.53;26
11213;0.53;27
11225;0.53;25
11236;0.53;25
11247;0.53;27
11258;0.53;26
11270;0.53;25
11280;0.53;25
11291;0.53;27
11302;0.53;27
11314;0.53;28
11325;0.53;29
11336;0.53;29
11346;0.53;29
11358;0.53;30
11369;0.53;31
11380;0.53;33
11392;0.53;33 
11403;0.53;35
11413;0.53;36
11424;0.53;38
11436;0.53;38
11447;0.53;40
11458;0.53;41
11469;0.53;40
11480;0.53;44
11491;0.53;45
11502;0.53;46
11513;0.53;47
11525;0.53;51
11536;0.53;48
11546;0.53;52
11557;0.53;55
11569;0.69;55
11580;0.69;56
11591;0.69;58
11602;0.69;59
11615;0.69;63
11626;0.69;64
11638;0.69;64
11650;0.69;67
11662;0.69;67
11673;0.69;66
11685;0.69;69
11697;0.69;71
11709;0.69;67
11720;0.69;68
11732;0.69;71
11744;0.69;69
11756;0.69;71
11767;0.69;71
11780;0.69;73
11791;0.69;72
11803;0.69;72
11814;0.69;68
11827;0.69;69
11838;0.69;69
11850;0.69;66
11862;0.69;67
11874;0.69;66
11885;0.69;62
11897;0.69;62
11909;0.69;62
11921;0.69;61
11932;0.69;58
11943;0.69;55 
11956;0.69;53
11966;0.69;51
11977;0.69;48
11988;0.69;47
12000;0.69;46
12011;0.69;43
12022;0.69;40
12033;0.69;37
12044;0.69;35
12055;0.69;33
12066;0.53;28
12078;0.53;28
12089;0.53;25
12099;0.53;23
12110;0.53;22
12122;0.53;22
12133;0.53;23
12144;0.53;26
12155;0.53;24
12166;0.53;26
12177;0.53;28
12188;0.53;25
12199;0.53;26
12211;0.53;26 
12222;0.53;26
12232;0.53;27
12243;0.53;28
12255;0.53;27
12266;0.53;27
12277;0.53;28
12289;0.53;27
12299;0.53;30
12310;0.53;30
12321;0.53;30
12333;0.53;31
12344;0.53;32
12355;0.53;32
12365;0.53;37
12377;0.53;37
12388;0.53;37
12399;0.53;37
12410;0.53;40
12422;0.53;42
12432;0.53;43
12443;0.53;45
12454;0.53;46
12466;0.53;51
12477;0.53;52 
12488;0.53;50
12498;0.53;53
12510;0.53;56
12521;0.53;56 
12533;0.53;56
12545;0.53;61
12557;0.53;61
12568;0.69;63
12580;0.69;65
12592;0.69;67
12604;0.69;72
12615;0.69;70 
12627;0.69;72
12639;0.69;74
12651;0.69;75
12662;0.69;76
12675;0.69;78
12686;0.69;79
12698;0.69;80
12709;0.69;82 
12722;0.69;81
12733;0.69;79
12745;0.69;83
12756;0.69;81
12769;0.69;80
12780;0.69;82
12792;0.69;80
12804;0.69;80 
12816;0.69;78
12827;0.69;76
12839;0.69;77
12851;0.69;78
12863;0.69;76
12874;0.69;71
12887;0.69;74
12898;0.69;68 
12910;0.69;68
12921;0.69;68
12934;0.69;64
12945;0.69;64
12957;0.69;61
12968;0.69;59
12981;0.69;57
12992;0.69;53 
13004;0.69;53
13015;0.69;49
13026;0.69;49
13037;0.69;46
13048;0.69;45
13060;0.53;42
13071;0.53;39
13081;0.53;38
13092;0.53;35
13104;0.53;31
13115;0.53;29
13126;0.53;27
13137;0.53;25
13148;0.53;22
13159;0.53;22
13170;0.53;23
13181;0.53;22
13193;0.53;23
13204;0.53;23
13216;0.53;26
13228;0.53;26
13239;0.53;27
13250;0.53;23
13261;0.53;28
13273;0.53;26
13283;0.53;28
13294;0.53;27
13305;0.53;29
13317;0.53;30
13328;0.53;30
13339;0.53;30
13349;0.53;33
13361;0.53;32
13372;0.53;34
13383;0.53;36
13394;0.53;36 
13406;0.53;38
13416;0.53;40
13427;0.53;42
13438;0.53;45
13450;0.53;45
13461;0.53;46
13472;0.53;48
13483;0.53;53
13494;0.53;55
13505;0.53;53
13516;0.53;55
13528;0.53;58
13539;0.53;59
13551;0.53;63
13562;0.69;64
13575;0.69;69
13586;0.69;67
13598;0.69;67
13609;0.69;73
13622;0.69;75
13633;0.69;77
13645;0.69;79
13657;0.69;80
13669;0.69;83
13680;0.69;80
13692;0.69;81
13704;0.69;81
13716;0.69;82
13727;0.69;85
13740;0.69;83
13751;0.69;88
13763;0.69;84
13774;0.69;86
13787;0.69;87
13798;0.69;84
13810;0.69;85
13821;0.69;83
13834;0.69;83
13845;0.69;84
13857;0.69;80
13869;0.69;82
13881;0.69;80
13892;0.69;78
13904;0.69;75
13916;0.69;74
13928;0.69;73
13939;0.69;69
13952;0.69;68
13963;0.69;64
13975;0.69;65
13986;0.69;65
13999;0.69;62
14010;0.69;58
14022;0.69;57
14033;0.69;55
14045;0.69;54
14056;0.69;50
14067;0.53;49
14078;0.53;45
14089;0.53;46
14100;0.53;41
14111;0.53;38
14123;0.53;37
14134;0.53;34
14145;0.53;32
14155;0.53;31
14167;0.53;30
14178;0.53;25
14189;0.53;26
14200;0.53;23
14212;0.53;24
14222;0.53;20
14233;0.53;20
14244;0.53;20
14256;0.53;23
14267;0.53;22 
14278;0.53;22
14288;0.53;26
14300;0.53;25
14311;0.53;26
14322;0.53;27
14333;0.53;29
14345;0.53;29
14355;0.53;28
14366;0.53;31
14377;0.53;34
14389;0.53;31
14400;0.53;33
14411;0.53;36
14422;0.53;36
14433;0.53;38
14444;0.53;41
14455;0.53;41
14467;0.53;44
14478;0.53;45
14488;0.53;49
14499;0.53;49
14511;0.53;53
14522;0.53;53
14533;0.53;57
14544;0.53;56
14556;0.53;60
14568;0.69;60
14579;0.69;63
14592;0.69;65
14603;0.69;67
14615;0.69;68
14626;0.69;70 
14639;0.69;71
14650;0.69;75
14662;0.69;74
14673;0.69;75
14686;0.69;78
14697;0.69;79
14709;0.69;78
14721;0.69;79 
14733;0.69;78
14744;0.69;79
14756;0.69;78
14768;0.69;80
14780;0.69;79
14791;0.69;77
14803;0.69;77
14815;0.69;77 
14827;0.69;77
14838;0.69;74
14851;0.69;74
14862;0.69;74
14874;0.69;70
14885;0.69;66
14898;0.69;66
14909;0.69;66 
14921;0.69;66
14932;0.69;63
14945;0.69;61
14956;0.69;59
14968;0.69;58
14980;0.69;58
14992;0.69;56
15002;0.69;54
15013;0.69;51
15025;0.69;50
15036;0.69;47
15047;0.69;44
15058;0.69;41
15069;0.53;38
15080;0.53;37
15091;0.53;35
15102;0.53;30
15114;0.53;30
15125;0.53;25
15135;0.53;24
15147;0.53;21
15158;0.53;22
15169;0.53;26
15180;0.53;26 
15192;0.53;25
15202;0.53;26
15213;0.53;26
15224;0.53;24
15236;0.53;26
15247;0.53;29
15258;0.53;28
15268;0.53;27
15280;0.53;28
15291;0.53;30
15302;0.53;29
15313;0.53;30
15325;0.53;30
15335;0.53;29
15346;0.53;32
15357;0.53;33
15369;0.53;35
15380;0.53;34
15391;0.53;38
15401;0.53;38
15413;0.53;42
15424;0.53;42
15435;0.53;43
15447;0.53;45 
15458;0.53;45
15468;0.53;50
15479;0.53;50
15491;0.53;53
15502;0.53;56
15513;0.53;55
15524;0.53;57
15536;0.53;59 
15548;0.53;58
15559;0.69;59
15571;0.69;63
15583;0.69;65
15595;0.69;67
15606;0.69;66
15619;0.69;69
15630;0.69;70 
15642;0.69;72
15653;0.69;75
15666;0.69;73
15677;0.69;77
15689;0.69;74
15700;0.69;77
15713;0.69;78
15724;0.69;78 
15736;0.69;78
15748;0.69;78
15760;0.69;77
15771;0.69;79
15783;0.69;78
15795;0.69;77
15807;0.69;77
15818;0.69;77 
15831;0.69;74
15842;0.69;73
15854;0.69;71
15865;0.69;72
15878;0.69;71
15889;0.69;71
15901;0.69;67
15912;0.69;65 
15925;0.69;65
15936;0.69;63
15948;0.69;63
15960;0.69;61
15972;0.69;58
15983;0.69;59
15995;0.69;56
